Country,Year,Yearly Average Temperature
Afghanistan,1950,13.0435
Africa,1950,23.88083333333333
Albania,1950,13.812833333333332
Algeria,1950,22.781833333333335
American Samoa,1950,26.520083333333332
Andorra,1950,11.812
Angola,1950,21.571833333333334
Anguilla,1950,26.266416666666668
Antigua And Barbuda,1950,26.052333333333333
Argentina,1950,14.795083333333332
Armenia,1950,8.213000000000001
Aruba,1950,27.488500000000002
Asia,1950,7.169833333333333
Australia,1950,21.322916666666668
Austria,1950,7.03575
Azerbaijan,1950,10.891333333333334
Bahamas,1950,25.00016666666667
Bahrain,1950,25.438000000000002
Baker Island,1950,25.540583333333334
Bangladesh,1950,25.020333333333337
Barbados,1950,26.181250000000002
Belarus,1950,6.231916666666667
Belgium,1950,9.829166666666666
Belize,1950,24.783
Benin,1950,27.16175
Bhutan,1950,11.966416666666667
Bolivia,1950,20.845166666666668
"Bonaire, Saint Eustatius And Saba",1950,26.759333333333334
Bosnia And Herzegovina,1950,11.704
Botswana,1950,22.124166666666667
Brazil,1950,24.639
British Virgin Islands,1950,25.997333333333334
Bulgaria,1950,11.46475
Burkina Faso,1950,27.77175
Burma,1950,23.812083333333334
Burundi,1950,20.043
Cambodia,1950,26.78925
Cameroon,1950,24.43275
Canada,1950,-5.952916666666667
Cape Verde,1950,24.341333333333335
Cayman Islands,1950,26.473249999999997
Central African Republic,1950,25.25191666666667
Chad,1950,26.593083333333336
Chile,1950,9.292
China,1950,6.641166666666667
Christmas Island,1950,25.824833333333334
Colombia,1950,24.425833333333333
Comoros,1950,25.62566666666667
Congo,1950,24.69741666666667
Congo (Democratic Republic Of The),1950,23.757583333333333
Costa Rica,1950,25.368583333333333
Croatia,1950,12.430083333333334
Cuba,1950,25.144000000000002
Curaçao,1950,26.920333333333335
Cyprus,1950,18.796333333333333
Czech Republic,1950,8.297666666666666
Côte D'Ivoire,1950,25.881249999999998
Denmark,1950,-17.593166666666665
Denmark (Europe),1950,8.335166666666668
Djibouti,1950,28.35591666666667
Dominica,1950,25.798000000000002
Dominican Republic,1950,25.238333333333333
Ecuador,1950,21.334416666666666
Egypt,1950,22.681083333333333
El Salvador,1950,24.643
Equatorial Guinea,1950,25.07575
Eritrea,1950,26.665833333333335
Estonia,1950,5.236
Ethiopia,1950,22.658
Europe,1950,8.4875
Falkland Islands (Islas Malvinas),1950,5.699750000000001
Faroe Islands,1950,7.0065
Federated States Of Micronesia,1950,27.028916666666664
Fiji,1950,25.294083333333333
Finland,1950,2.2062500000000003
France,1950,13.23325
France (Europe),1950,10.921833333333334
French Guiana,1950,25.78075
French Polynesia,1950,25.91033333333333
French Southern And Antarctic Lands,1950,3.963636363636364
Gabon,1950,24.434250000000002
Gambia,1950,27.41825
Gaza Strip,1950,19.296583333333334
Georgia,1950,7.9575
Germany,1950,8.653416666666667
Ghana,1950,26.692000000000004
Greece,1950,15.639000000000001
Greenland,1950,-18.12675
Grenada,1950,26.46075
Guadeloupe,1950,25.948166666666665
Guam,1950,26.87275
Guatemala,1950,22.901749999999996
Guernsey,1950,11.209333333333333
Guinea,1950,25.32558333333333
Guinea Bissau,1950,26.633583333333334
Guyana,1950,26.023750000000003
Haiti,1950,25.9605
Heard Island And Mcdonald Islands,1950,1.5833636363636365
Honduras,1950,24.371166666666667
Hong Kong,1950,23.04941666666667
Hungary,1950,10.680166666666667
Iceland,1950,1.8535000000000004
India,1950,23.659333333333336
Indonesia,1950,25.65425
Iran,1950,16.908833333333334
Iraq,1950,21.31175
Ireland,1950,9.461833333333333
Isle Of Man,1950,9.429916666666665
Israel,1950,19.70975
Italy,1950,13.712583333333335
Jamaica,1950,25.723
Japan,1950,12.589500000000001
Jersey,1950,11.209333333333333
Jordan,1950,19.401166666666665
Kazakhstan,1950,4.267416666666666
Kenya,1950,23.94541666666667
Kingman Reef,1950,26.67616666666667
Kiribati,1950,26.316166666666664
Kuwait,1950,24.617833333333333
Kyrgyzstan,1950,2.6250000000000004
Laos,1950,23.7715
Latvia,1950,5.77025
Lebanon,1950,17.695249999999998
Lesotho,1950,14.00125
Liberia,1950,25.31916666666667
Libya,1950,21.881249999999998
Liechtenstein,1950,5.4355
Lithuania,1950,6.466666666666666
Luxembourg,1950,9.560083333333333
Macau,1950,22.8175
Macedonia,1950,11.551083333333333
Madagascar,1950,22.50666666666667
Malawi,1950,21.011083333333335
Malaysia,1950,25.91025
Mali,1950,27.8955
Malta,1950,19.213333333333335
Martinique,1950,25.798000000000002
Mauritania,1950,27.309749999999998
Mauritius,1950,23.366416666666666
Mayotte,1950,26.26275
Mexico,1950,21.25675
Moldova,1950,9.625083333333334
Monaco,1950,9.814
Mongolia,1950,-0.8249166666666666
Montenegro,1950,11.558666666666667
Montserrat,1950,25.984583333333333
Morocco,1950,17.952916666666667
Mozambique,1950,23.407416666666666
Namibia,1950,20.434
Nepal,1950,14.65125
Netherlands,1950,9.853333333333333
Netherlands (Europe),1950,9.475666666666667
New Caledonia,1950,23.262583333333335
New Zealand,1950,10.618
Nicaragua,1950,25.688000000000002
Niger,1950,26.735333333333333
Nigeria,1950,26.672
Niue,1950,25.27725
North America,1950,1.870416666666667
North Korea,1950,7.225499999999999
Northern Mariana Islands,1950,26.87275
Norway,1950,0.9837500000000001
Oceania,1950,21.203500000000002
Oman,1950,26.303833333333333
Pakistan,1950,19.694416666666665
Palau,1950,27.049916666666665
Palestina,1950,23.316000000000003
Palmyra Atoll,1950,26.699166666666667
Panama,1950,25.975333333333335
Papua New Guinea,1950,24.59358333333333
Paraguay,1950,23.434
Peru,1950,19.584
Philippines,1950,26.53216666666667
Poland,1950,8.127083333333333
Portugal,1950,15.066083333333333
Puerto Rico,1950,25.108333333333334
Qatar,1950,26.293000000000003
Reunion,1950,23.06941666666667
Romania,1950,9.759
Russia,1950,-5.6089166666666666
Rwanda,1950,19.259833333333333
Saint Barthélemy,1950,26.266416666666668
Saint Kitts And Nevis,1950,25.4755
Saint Lucia,1950,26.327333333333332
Saint Martin,1950,26.266416666666668
Saint Pierre And Miquelon,1950,4.293333333333334
Saint Vincent And The Grenadines,1950,26.458083333333335
Samoa,1950,26.274583333333336
San Marino,1950,14.924333333333335
Sao Tome And Principe,1950,25.919833333333333
Saudi Arabia,1950,25.359166666666667
Senegal,1950,27.817083333333333
Serbia,1950,11.216416666666667
Seychelles,1950,26.50916666666667
Sierra Leone,1950,25.940583333333336
Singapore,1950,26.560166666666664
Sint Maarten,1950,26.266416666666668
Slovakia,1950,8.382249999999999
Slovenia,1950,10.637916666666667
Solomon Islands,1950,26.655
Somalia,1950,26.569916666666668
South Africa,1950,17.451166666666666
South America,1950,21.734916666666667
South Georgia And The South Sandwich Isla,1950,0.6483333333333333
South Korea,1950,12.339666666666666
Spain,1950,14.23925
Sri Lanka,1950,26.974166666666665
Sudan,1950,26.820166666666665
Suriname,1950,26.283833333333334
Svalbard And Jan Mayen,1950,-5.688083333333334
Swaziland,1950,19.02725
Sweden,1950,3.0690000000000004
Switzerland,1950,7.730916666666666
Syria,1950,17.769583333333333
Taiwan,1950,22.03775
Tajikistan,1950,3.2042500000000005
Tanzania,1950,22.073666666666668
Thailand,1950,26.086916666666667
Timor Leste,1950,25.426666666666666
Togo,1950,26.941083333333335
Tonga,1950,23.478416666666664
Trinidad And Tobago,1950,25.967916666666667
Tunisia,1950,20.121750000000002
Turkey,1950,11.466666666666667
Turkmenistan,1950,13.65375
Turks And Caicas Islands,1950,26.359750000000002
Uganda,1950,22.967916666666667
Ukraine,1950,8.020666666666667
United Arab Emirates,1950,27.1305
United Kingdom,1950,8.619166666666667
United Kingdom (Europe),1950,8.811416666666666
United States,1950,8.656416666666667
Uruguay,1950,17.41325
Uzbekistan,1950,11.026166666666667
Venezuela,1950,24.793499999999998
Vietnam,1950,23.944833333333335
Virgin Islands,1950,25.997333333333334
Western Sahara,1950,22.47583333333333
Yemen,1950,25.81566666666667
Zambia,1950,20.847666666666665
Zimbabwe,1950,21.258416666666665
Åland,1950,5.957916666666666
Afghanistan,1951,13.96775
Africa,1951,24.128333333333334
Albania,1951,13.569833333333333
Algeria,1951,23.32166666666667
American Samoa,1951,26.689666666666668
Andorra,1951,10.972916666666668
Angola,1951,22.002166666666668
Anguilla,1951,26.69525
Antigua And Barbuda,1951,26.537750000000003
Argentina,1951,14.836916666666667
Armenia,1951,8.741583333333333
Aruba,1951,28.18166666666667
Asia,1951,7.6673333333333344
Australia,1951,21.557000000000002
Austria,1951,7.079833333333333
Azerbaijan,1951,11.330833333333333
Bahamas,1951,25.075166666666664
Bahrain,1951,26.263416666666668
Baker Island,1951,25.861666666666668
Bangladesh,1951,25.28216666666667
Barbados,1951,26.589833333333335
Belarus,1951,6.356000000000001
Belgium,1951,9.915083333333333
Belize,1951,25.34358333333334
Benin,1951,27.41775
Bhutan,1951,12.278666666666666
Bolivia,1951,20.93133333333333
"Bonaire, Saint Eustatius And Saba",1951,27.406666666666666
Bosnia And Herzegovina,1951,11.706083333333334
Botswana,1951,21.784583333333334
Brazil,1951,24.79733333333333
British Virgin Islands,1951,26.432583333333337
Bulgaria,1951,11.4855
Burkina Faso,1951,28.24716666666667
Burma,1951,23.931166666666666
Burundi,1951,19.903583333333334
Cambodia,1951,26.83566666666667
Cameroon,1951,24.407416666666666
