,Date,LandAverageTemperature,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature
1200,1850-01-01,0.7490000000000001,8.241999999999999,-3.2060000000000004,12.832999999999998
1201,1850-02-01,3.071,9.97,-2.2910000000000004,13.588
1202,1850-03-01,4.954,10.347,-1.905,14.043
1203,1850-04-01,7.217,12.934,1.018,14.667
1204,1850-05-01,10.004,15.655,3.811,15.507
1205,1850-06-01,13.15,18.946,7.106,16.352999999999998
1206,1850-07-01,14.492,19.233,8.014,16.783
1207,1850-08-01,14.039,18.477,7.405999999999999,16.718
1208,1850-09-01,11.505,15.846000000000002,4.533,15.886
1209,1850-10-01,8.091000000000001,13.189,2.013,14.831
1210,1850-11-01,4.7330000000000005,11.388,-0.12,13.897
1211,1850-12-01,2.803,7.492999999999999,-2.8070000000000004,13.3
1212,1851-01-01,2.431,8.950999999999997,-2.443,13.245
1213,1851-02-01,2.508,9.808,-1.507,13.331
1214,1851-03-01,4.192,11.507,-0.7000000000000001,13.897
1215,1851-04-01,7.286999999999999,14.236,2.331,14.64
1216,1851-05-01,11.113,15.010000000000002,4.136,15.771
1217,1851-06-01,13.418,17.287999999999997,6.3740000000000006,16.496000000000002
1218,1851-07-01,14.531,17.102999999999998,7.425,16.831
1219,1851-08-01,13.751,17.360999999999994,6.594999999999999,16.621000000000002
1220,1851-09-01,11.677,16.360000000000007,5.525,16.058
1221,1851-10-01,9.122,14.961,3.298,15.213
1222,1851-11-01,4.973,7.951,-1.345,14.161
1223,1851-12-01,3.14,6.436,-3.242,13.638
1224,1852-01-01,2.3760000000000003,8.474,-2.7550000000000003,13.231
1225,1852-02-01,2.54,8.568999999999999,-2.337,13.311
1226,1852-03-01,3.884,9.215,-2.491,13.736
1227,1852-04-01,7.486999999999999,11.249,0.6469999999999998,14.786
1228,1852-05-01,11.169,15.835,4.6240000000000006,15.899
1229,1852-06-01,13.164,17.759999999999994,6.705,16.619
1230,1852-07-01,14.512,17.795,7.57,16.984
1231,1852-08-01,13.304,17.567,7.4289999999999985,16.566
1232,1852-09-01,11.478,16.665000000000006,5.742000000000001,16.038
1233,1852-10-01,8.91,14.849,2.813,15.178
1234,1852-11-01,4.593,12.009,0.736,13.948
1235,1852-12-01,3.785,10.781,-0.6390000000000001,13.782
1236,1853-01-01,1.786,8.972000000000001,-2.818,13.143
1237,1853-02-01,2.228,8.29,-3.213,13.362
1238,1853-03-01,4.078,10.325,-1.966,14.033
1239,1853-04-01,7.540999999999999,13.72,1.6549999999999998,14.919
1240,1853-05-01,10.975,16.543000000000006,4.364000000000001,15.793
1241,1853-06-01,13.41,18.611,6.944000000000001,16.455000000000002
1242,1853-07-01,14.645,18.923,6.933,16.999000000000002
1243,1853-08-01,13.953,19.308,7.273,16.789
1244,1853-09-01,11.71,17.691000000000006,5.779,15.942
1245,1853-10-01,8.535,14.757,1.85,14.874
1246,1853-11-01,4.783,11.269,-0.0759999999999999,13.829
1247,1853-12-01,2.858,8.23,-4.015,13.324000000000002
1248,1854-01-01,1.281,8.786,-3.5520000000000005,12.983
1249,1854-02-01,1.941,8.508,-4.109,13.248
1250,1854-03-01,4.698,10.469,-1.413,14.089
1251,1854-04-01,7.622000000000001,13.402,0.5659999999999998,14.945
1252,1854-05-01,11.095,16.748,4.184,15.793
1253,1854-06-01,12.829,18.188,6.492999999999999,16.285999999999998
1254,1854-07-01,14.692,20.426,7.89,16.775000000000002
1255,1854-08-01,13.889,19.291,7.302999999999999,16.707
1256,1854-09-01,11.514,17.357000000000006,5.553999999999999,16.098
1257,1854-10-01,9.763,15.341,3.033,15.378
1258,1854-11-01,5.745,10.707,-1.406,14.123
1259,1854-12-01,3.457,8.506,-3.397,13.467
1260,1855-01-01,2.522,8.219999999999999,-3.125,13.384
1261,1855-02-01,2.982,7.604,-4.947,13.646
1262,1855-03-01,4.617,10.16,-1.865,14.172
1263,1855-04-01,8.58,13.709,1.1409999999999998,15.187
1264,1855-05-01,11.186,16.77,4.2860000000000005,15.822
1265,1855-06-01,12.984000000000002,17.642,6.476,16.445
1266,1855-07-01,13.925999999999998,18.467,7.691,16.675
1267,1855-08-01,13.547,19.012,6.930999999999999,16.685000000000002
1268,1855-09-01,11.140999999999998,17.078000000000007,5.499,15.829
1269,1855-10-01,8.443999999999999,14.26,2.317,15.075
1270,1855-11-01,5.186,11.117,-0.5170000000000001,14.118
1271,1855-12-01,2.214,7.879,-3.4530000000000003,13.215
1272,1856-01-01,2.76,7.297999999999999,-3.727,13.368
1273,1856-02-01,2.226,8.294,-3.679,13.311
1274,1856-03-01,4.372,10.327,-2.241,13.957
1275,1856-04-01,7.750999999999999,14.387,1.242,14.945
1276,1856-05-01,10.53,16.704,3.945,15.813
1277,1856-06-01,13.496,18.326,6.879,16.492
1278,1856-07-01,14.019,18.349,7.035,16.675
1279,1856-08-01,13.021,18.386,6.767,16.39
1280,1856-09-01,10.948,17.21,4.864,15.640999999999998
1281,1856-10-01,8.087,14.128,1.979,14.783
1282,1856-11-01,5.36,10.349,-1.433,13.856
1283,1856-12-01,3.381,7.885,-3.33,13.321
1284,1857-01-01,1.821,6.642,-5.407,12.972
1285,1857-02-01,2.481,9.602,-1.92,13.385000000000002
1286,1857-03-01,4.312,10.2,-1.0710000000000002,13.916
1287,1857-04-01,6.826999999999999,13.107,0.8799999999999999,14.481
1288,1857-05-01,9.885,15.6,3.639,15.279000000000002
1289,1857-06-01,12.611,17.372,5.849,16.175
1290,1857-07-01,13.953,18.717,7.438,16.477999999999998
1291,1857-08-01,13.203,18.194000000000003,6.997999999999998,16.459
1292,1857-09-01,11.056,17.223000000000006,5.146,15.84
1293,1857-10-01,8.198,14.558,2.881,14.918
1294,1857-11-01,5.236000000000001,10.527,-0.605,13.829
1295,1857-12-01,3.515,9.509,-1.546,13.367
