,State,Country,Year,Yearly Average Temperature
38551,Acre,Brazil,1950,25.753666666666664
38552,Adygey,Russia,1950,9.96775
38553,Aga Buryat,Russia,1950,-1.5431666666666672
38554,Alabama,United States,1950,17.393416666666667
38555,Alagoas,Brazil,1950,24.559833333333334
38556,Alaska,United States,1950,-4.4245833333333335
38557,Alberta,Canada,1950,-1.8009166666666665
38558,Altay,Russia,1950,0.5211666666666668
38559,Amazonas,Brazil,1950,26.171166666666668
38560,Amur,Russia,1950,-5.744750000000001
38561,Andaman And Nicobar,India,1950,27.273333333333337
38562,Andhra Pradesh,India,1950,27.067583333333335
38563,Anhui,China,1950,15.61275
38564,Arizona,United States,1950,16.16225
38565,Arkansas,United States,1950,15.515416666666667
38566,Arkhangel'Sk,Russia,1950,-1.154916666666667
38567,Arunachal Pradesh,India,1950,13.9415
38568,Assam,India,1950,22.02416666666667
38569,Astrakhan',Russia,1950,8.352583333333333
38570,Australian Capital Territory,Australia,1950,11.822416666666667
38571,Bahia,Brazil,1950,23.769416666666668
38572,Bashkortostan,Russia,1950,1.4034999999999993
38573,Beijing,China,1950,9.12075
38574,Belgorod,Russia,1950,5.969166666666667
38575,Bihar,India,1950,24.44033333333333
38576,British Columbia,Canada,1950,-1.1026666666666665
38577,Bryansk,Russia,1950,5.4753333333333325
38578,Buryat,Russia,1950,-5.831583333333334
38579,California,United States,1950,14.724583333333333
38580,Chandigarh,India,1950,12.749166666666667
38581,Chechnya,Russia,1950,8.326916666666667
38582,Chelyabinsk,Russia,1950,1.1035833333333338
38583,Chhattisgarh,India,1950,25.491
38584,Chita,Russia,1950,-5.511
38585,Chongqing,China,1950,15.754416666666666
38586,Chukot,Russia,1950,-10.851583333333332
38587,Chuvash,Russia,1950,3.199583333333333
38588,City Of St. Petersburg,Russia,1950,4.3965
38589,Colorado,United States,1950,7.37825
38590,Connecticut,United States,1950,9.401000000000002
38591,Dadra And Nagar Haveli,India,1950,24.712833333333336
38592,Dagestan,Russia,1950,9.772083333333333
38593,Daman And Diu,India,1950,25.813833333333335
38594,Delaware,United States,1950,12.1255
38595,Delhi,India,1950,24.66125
38596,District Of Columbia,United States,1950,12.037916666666668
38597,Distrito Federal,Brazil,1950,21.483999999999998
38598,Evenk,Russia,1950,-11.026000000000002
38599,Florida,United States,1950,21.748250000000002
38600,Fujian,China,1950,18.952
38601,Gansu,China,1950,5.316666666666666
38602,Georgia (State),United States,1950,17.81533333333333
38603,Goa,India,1950,25.54716666666667
38604,Gorno Altay,Russia,1950,-5.013916666666668
38605,Guangdong,China,1950,21.566833333333335
38606,Guangxi,China,1950,20.456083333333336
38607,Guizhou,China,1950,15.453416666666667
38608,Gujarat,India,1950,25.8045
38609,Hainan,China,1950,24.707833333333337
38610,Haryana,India,1950,23.654750000000003
38611,Hawaii,United States,1950,22.373500000000003
38612,Hebei,China,1950,9.24425
38613,Heilongjiang,China,1950,1.0465
38614,Henan,China,1950,14.011916666666666
38615,Himachal Pradesh,India,1950,8.399083333333333
38616,Hubei,China,1950,15.599833333333335
38617,Hunan,China,1950,16.931166666666666
38618,Idaho,United States,1950,5.330666666666667
38619,Illinois,United States,1950,10.21125
38620,Indiana,United States,1950,10.392833333333334
38621,Ingush,Russia,1950,7.477583333333333
38622,Iowa,United States,1950,7.6634166666666665
38623,Irkutsk,Russia,1950,-5.407166666666666
38624,Ivanovo,Russia,1950,3.262916666666667
38625,Jammu And Kashmir,India,1950,2.341333333333333
38626,Jharkhand,India,1950,24.852166666666665
38627,Jiangsu,China,1950,15.225999999999999
38628,Jiangxi,China,1950,17.878583333333335
38629,Jilin,China,1950,4.451583333333334
38630,Kabardin Balkar,Russia,1950,7.3494166666666665
38631,Kaliningrad,Russia,1950,7.139749999999999
38632,Kalmyk,Russia,1950,8.930666666666667
38633,Kaluga,Russia,1950,4.355666666666667
38634,Kamchatka,Russia,1950,-1.580916666666667
38635,Kansas,United States,1950,11.878
38636,Karachay Cherkess,Russia,1950,8.341416666666667
38637,Karelia,Russia,1950,1.9560000000000002
38638,Karnataka,India,1950,25.556749999999997
38639,Kemerovo,Russia,1950,-0.7471666666666664
38640,Kentucky,United States,1950,12.76625
38641,Kerala,India,1950,26.24716666666667
38642,Khabarovsk,Russia,1950,-6.598416666666668
38643,Khakass,Russia,1950,-2.761333333333333
38644,Khanty Mansiy,Russia,1950,-2.2662500000000008
38645,Kirov,Russia,1950,1.5385833333333336
38646,Komi,Russia,1950,-1.5630833333333332
38647,Komi Permyak,Russia,1950,0.6565833333333336
38648,Koryak,Russia,1950,-5.3901666666666666
38649,Kostroma,Russia,1950,2.1944166666666667
38650,Krasnodar,Russia,1950,10.3195
38651,Krasnoyarsk,Russia,1950,-4.012833333333333
38652,Kurgan,Russia,1950,0.9610833333333325
38653,Kursk,Russia,1950,5.3805000000000005
38654,Leningrad,Russia,1950,3.66075
38655,Liaoning,China,1950,7.75875
38656,Lipetsk,Russia,1950,4.656833333333332
38657,Louisiana,United States,1950,19.563333333333333
38658,Madhya Pradesh,India,1950,25.016750000000002
38659,Maga Buryatdan,Russia,1950,-11.512500000000001
38660,Maharashtra,India,1950,25.847166666666666
38661,Maine,United States,1950,4.978166666666667
38662,Manipur,India,1950,21.333166666666667
38663,Manitoba,Canada,1950,-4.703333333333333
38664,Mariy El,Russia,1950,2.5757499999999998
38665,Maryland,United States,1950,12.29725
38666,Massachusetts,United States,1950,8.1195
38667,Mato Grosso,Brazil,1950,25.37625
38668,Mato Grosso Do Sul,Brazil,1950,23.628333333333334
38669,Meghalaya,India,1950,23.6735
38670,Michigan,United States,1950,5.93775
38671,Minas Gerais,Brazil,1950,21.808583333333335
38672,Minnesota,United States,1950,2.924583333333333
38673,Mississippi,United States,1950,17.831916666666668
38674,Missouri,United States,1950,11.801
38675,Mizoram,India,1950,23.503333333333334
38676,Montana,United States,1950,3.7518333333333334
38677,Mordovia,Russia,1950,3.6337500000000005
38678,Moscow City,Russia,1950,3.9295833333333334
38679,Moskva,Russia,1950,3.8985833333333333
38680,Murmansk,Russia,1950,0.16908333333333325
38681,Nagaland,India,1950,21.547583333333336
38682,Nebraska,United States,1950,8.282583333333333
38683,Nei Mongol,China,1950,3.5113333333333334
38684,Nenets,Russia,1950,-3.5060000000000007
38685,Nevada,United States,1950,10.392916666666666
38686,New Brunswick,Canada,1950,4.23575
38687,New Hampshire,United States,1950,6.208750000000001
38688,New Jersey,United States,1950,10.84025
