Country,Year,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
South Africa,1950,252147.23,527680.42,2400953.29,81144.72,358857.33,28282.11,110737.37
South Africa,1951,271370.69,554496.82,2449246.24,82442.65,377759.85,28993.76,114095.15
South Africa,1952,291014.78,599798.06,2484679.32,84110.45,392486.58,29998.26,117178.16
South Africa,1953,289709.85,593321.14,2464231.03,85479.02,393985.01,30506.41,119993.63
South Africa,1954,300686.13,619083.44,2489586.18,86855.77,407302.38,31353.39,122504.68
South Africa,1955,331988.6,680251.5,2558935.42,88439.71,431465.95,32724.21,124715.51
South Africa,1956,348303.01,707114.54,2589304.05,89340.05,446707.63,33552.06,126885.32
South Africa,1957,352031.17,720652.0,2537347.35,89899.7,442375.19,33901.83,129397.23
South Africa,1958,375721.77,762824.55,2589590.26,90854.68,462926.08,34994.97,132774.23
South Africa,1959,364809.04,747451.89,2499348.49,90924.52,450251.86,34917.44,135748.71
South Africa,1960,374312.85,757507.36,2492045.73,91455.14,456831.57,35535.92,138100.85
South Africa,1961,389469.82,787320.04,2539731.99,92321.89,474971.44,36631.19,135752.0
South Africa,1962,400601.58,787252.34,2556057.61,93421.1,485522.45,37612.3,143875.09
South Africa,1963,411399.26,820645.58,2568285.46,94603.46,494981.03,38654.63,148437.95
South Africa,1964,452768.24,864920.39,2766268.95,96678.3,546338.57,40982.15,152080.46
South Africa,1965,470592.78,908395.24,2767044.38,98541.27,552529.43,42591.2,155590.48
South Africa,1966,474528.09,944280.61,2864971.11,100114.75,573826.78,43558.82,157836.7
South Africa,1967,492542.33,1013472.64,2972289.28,102232.27,597449.73,45109.32,166603.64
South Africa,1968,489155.38,1076446.73,2903002.36,103651.88,582052.1,45810.91,170791.53
South Africa,1969,508511.73,1132708.42,3045655.05,104718.37,614855.09,47148.21,173362.02
South Africa,1970,536759.64,1183734.46,3217825.63,105686.67,660423.16,48634.1,188092.97
South Africa,1971,602701.18,1276403.61,3554528.26,104703.35,728133.7,51302.56,187246.97
South Africa,1972,637554.11,1273942.73,3743311.61,108407.55,760247.53,52649.77,192215.17
South Africa,1973,712370.75,1379166.84,3981142.18,111314.12,809285.93,54337.37,197931.85
South Africa,1974,734653.44,1409388.04,3970448.2,115753.35,807985.87,55327.54,204629.22
South Africa,1975,807662.14,1505365.47,4309443.41,123638.19,872565.22,58951.32,215094.6
South Africa,1976,862911.02,1579026.65,4378618.9,121820.54,886104.36,58911.65,216619.49
South Africa,1977,869904.93,1610273.61,4237349.75,117456.26,887624.71,56346.23,222346.19
South Africa,1978,901581.74,1658267.79,4437410.58,120994.35,923737.96,58749.49,229481.08
South Africa,1979,904080.87,1677213.96,4214765.63,118061.49,909009.45,55180.55,238769.05
