Year Range,% Change in Yearly Avg Temp for Brazil,% Change in Yearly Avg Temp for Russia,% Change in Yearly Avg Temp for United States,% Change in Yearly Avg Temp for Canada,% Change in Yearly Avg Temp for India,% Change in Yearly Avg Temp for China,% Change in Yearly Avg Temp for Australia,Years
1950 - 1951,0.6426126601458316,-9.859301409957359,-2.7705844412141283,-9.402953734163944,2.3725661472568977,3.4381509272969133,1.097801660967257,1951
1951 - 1952,0.2191095816754732,22.139077977946652,6.6871949227220115,-26.116381841218804,0.5979741818281809,-3.327510493243086,-0.32472050841954025,1952
1952 - 1953,0.5791026758768373,-22.603673265589794,6.136256067116443,-0.6775974569181897,0.8047580937527672,5.743434013878604,-0.05778687888801016,1953
1953 - 1954,-0.1143535357913101,11.254860251425386,-1.25737769422464,19.41800724332519,-1.6058275287627422,-9.275169696682005,0.391548148004435,1954
1954 - 1955,-0.8070653262306077,5.817452357071224,-9.493743745959765,4.630250026448498,-0.889636766135858,5.190184691047977,0.02048673387344952,1955
1955 - 1956,-1.154159348017737,3.3249407582938137,2.145666594916155,13.60465116279069,-0.21918685157223905,-6.003481720964942,-2.5835049873046816,1956
1956 - 1957,1.3163986437723694,-7.834874220597703,4.901387944328945,-10.855472979989026,0.5303421247158163,1.4075563551698735,4.268621663651646,1957
1957 - 1958,1.8795590394559538,14.852486041773572,-1.711165491800255,-14.889757883351344,2.705008723037488,10.106188687121662,0.4318347841967621,1958
1958 - 1959,-0.4386297602047326,-21.37063467345529,-1.6146113970383433,22.65822042348522,-1.6594847964986608,0.08648981671268077,0.45876946739554514,1959
1959 - 1960,-1.6082176443503613,22.672085694111964,-1.5079694817948344,-15.707090028054049,0.0837906333061045,-2.113026184951935,-4.016924480914712,1960
1960 - 1961,1.5907376982951213,-16.436433063791547,-0.5781011820874727,15.006996709655438,-1.943070071299666,2.3170598976914016,3.5536644586407853,1961
1961 - 1962,-1.2092511524173617,-10.968684900208313,3.639203887988878,-3.834391134203697,0.29182981492951554,-4.920396657486961,-0.734526939610224,1962
1962 - 1963,1.3253585948716649,13.40315124068307,1.3788868419583535,-5.37051602092807,0.8834088696762517,5.203619909502248,-0.4819691555028936,1963
1963 - 1964,-1.7380710391016327,15.527970980731473,-6.479441997063137,18.319631403017446,-0.10479026384320791,-4.344794989956263,-0.21699555255132916,1964
1964 - 1965,1.0097402706791332,2.101397090594833,1.8370951913640892,1.093396860301722,0.08482028485768645,0.7979938976937243,2.0384205320062017,1965
1965 - 1966,0.4105988539255462,6.807826320021448,-1.9041745364838356,-6.803625377643498,1.4431442002691282,2.383607642250505,-3.309254823560464,1966
1966 - 1967,-0.2899975750489252,-30.84725615796078,4.93929034539666,2.737616701244825,-1.8270289808124458,-8.035286794982282,1.2378477911458363,1967
1967 - 1968,-1.5288309057715017,28.10596077083219,-3.9176589530442487,-12.047014277825976,-0.5307306229485539,5.066965157293286,-0.7548987495423884,1968
1968 - 1969,2.645013955848778,21.048080506895207,2.5438673408743306,-3.0870508888051864,2.6667644398816748,-4.028541697636389,1.7957957025152844,1969
1969 - 1970,-0.36256604470111875,-18.3784316381954,-1.1154394299287473,13.344932257348036,-1.7431142734699663,1.7374019000412961,-0.32879303965732637,1970
1970 - 1971,-2.312656925565575,-9.984759547916866,-2.657673238787032,-4.577223292726728,-1.8280377584470036,4.233804460909953,-0.5575774274900681,1971
1971 - 1972,1.986440999383662,14.70144499949709,-0.17076300463923494,39.70223325062035,2.7002059180277005,-0.4649747428640958,1.6520942690454703,1972
1972 - 1973,0.28787919035223014,-15.230036244592554,6.010658809337829,-38.56311631040608,0.47139041288717604,5.7989801034571276,1.8202123833500512,1973
1973 - 1974,-2.3364841822967546,17.340482388841963,-1.3290926727354166,34.97029150217329,-0.864546420675289,-7.631046639311115,-5.241064423895643,1974
1974 - 1975,0.38748652441877046,-26.98755528129177,-4.366155911183378,-12.32771483018922,-1.297098676704275,6.629709809417748,2.1404159979910578,1975
1975 - 1976,0.17121379436111456,43.12679854305431,2.6123828727315868,-3.1391116802588055,1.4140235938340302,-8.868573306263283,-2.3014690064230616,1976
1976 - 1977,1.6721280526450375,-6.984983971655118,7.150219139816021,-19.824301991823965,0.3691523614387407,5.874777860767008,3.298587218515171,1977
1977 - 1978,-0.8150191652187747,-4.663220267247108,-5.592513349754584,38.006899694070185,-1.1593079147896836,2.8729201128734045,-1.3124738304594394,1978
1978 - 1979,0.06752916792030636,12.336890171394128,-2.05490539626917,-5.56079615130649,2.275346421926651,0.36770791458771357,2.995425476930691,1979
1979 - 1980,0.816484705945239,-8.19031220007903,6.57890899192099,-11.763139056751406,0.16087264927386827,-1.7528772868098417,1.5002172056862844,1980
1980 - 1981,-0.6544589364296678,-23.144091377269444,6.414536697498771,-35.084806520385634,-1.4828017362605548,-0.34052349492210493,-1.868769231904499,1981
1981 - 1982,0.9883222537616504,22.35668280193622,-12.158617497299803,104.9059784346209,-0.04196174602135828,3.2243704657290233,-1.1441182995010615,1982
1982 - 1983,0.477269424370153,-22.476336826273872,4.365985518277796,-19.121443363308853,-1.1571851805972864,-3.1423010128559166,1.600069981667827,1983
1983 - 1984,-0.9500047664599057,33.96946564885492,-1.1351310917455133,-2.4727731888251636,1.032180354805466,-5.879592303341745,-3.3429040964613055,1984
1984 - 1985,-0.5744742283095307,4.2860965512899085,-2.5441201505665,5.759651867436265,1.2456024891375868,3.4111104008182838,2.4469119258877976,1985
1985 - 1986,0.6622428134638219,-11.391010354091804,11.325259112612066,-1.1680892304553299,-0.783430212771743,1.9274754892869783,0.2260690077536319,1986
1986 - 1987,1.720650458265363,28.243650671981197,0.7183081402444571,-30.97871901181894,2.035783133356649,5.514179665704378,-0.09429727782617835,1987
1987 - 1988,-1.5102962892936131,-30.978376368079907,-3.66459519811665,23.384845463609157,-0.24742073964008404,-0.3885593415183796,2.526531983735337,1988
1988 - 1989,-1.2150479267065823,-5.938612527662867,-4.336771364910519,22.984929901822166,-2.2865673854947075,0.2619734564339423,-3.3903984740076845,1989
