,Country,Year,Yearly Average Temperature
32691,Afghanistan,1950,13.0435
32692,Africa,1950,23.88083333333333
32693,Albania,1950,13.812833333333332
32694,Algeria,1950,22.781833333333335
32695,American Samoa,1950,26.520083333333332
32696,Andorra,1950,11.812
32697,Angola,1950,21.571833333333334
32698,Anguilla,1950,26.266416666666668
32700,Antigua And Barbuda,1950,26.052333333333333
32701,Argentina,1950,14.795083333333332
32702,Armenia,1950,8.213000000000001
32703,Aruba,1950,27.488500000000002
32704,Asia,1950,7.169833333333333
32705,Australia,1950,21.322916666666668
32706,Austria,1950,7.03575
32707,Azerbaijan,1950,10.891333333333334
32708,Bahamas,1950,25.00016666666667
32709,Bahrain,1950,25.438000000000002
32710,Baker Island,1950,25.540583333333334
32711,Bangladesh,1950,25.020333333333337
32712,Barbados,1950,26.181250000000002
32713,Belarus,1950,6.231916666666667
32714,Belgium,1950,9.829166666666666
32715,Belize,1950,24.783
32716,Benin,1950,27.16175
32717,Bhutan,1950,11.966416666666667
32718,Bolivia,1950,20.845166666666668
32719,"Bonaire, Saint Eustatius And Saba",1950,26.759333333333334
32720,Bosnia And Herzegovina,1950,11.704
32721,Botswana,1950,22.124166666666667
32722,Brazil,1950,24.639
32723,British Virgin Islands,1950,25.997333333333334
32724,Bulgaria,1950,11.46475
32725,Burkina Faso,1950,27.77175
32726,Burma,1950,23.812083333333334
32727,Burundi,1950,20.043
32728,Cambodia,1950,26.78925
32729,Cameroon,1950,24.43275
32730,Canada,1950,-5.952916666666667
32731,Cape Verde,1950,24.341333333333335
32732,Cayman Islands,1950,26.473249999999997
32733,Central African Republic,1950,25.25191666666667
32734,Chad,1950,26.593083333333336
32735,Chile,1950,9.292
32736,China,1950,6.641166666666667
32737,Christmas Island,1950,25.824833333333334
32738,Colombia,1950,24.425833333333333
32739,Comoros,1950,25.62566666666667
32740,Congo,1950,24.69741666666667
32741,Congo (Democratic Republic Of The),1950,23.757583333333333
32742,Costa Rica,1950,25.368583333333333
32743,Croatia,1950,12.430083333333334
32744,Cuba,1950,25.144000000000002
32745,Curaçao,1950,26.920333333333335
32746,Cyprus,1950,18.796333333333333
32747,Czech Republic,1950,8.297666666666666
32748,Côte D'Ivoire,1950,25.881249999999998
32749,Denmark,1950,-17.593166666666665
32750,Denmark (Europe),1950,8.335166666666668
32751,Djibouti,1950,28.35591666666667
32752,Dominica,1950,25.798000000000002
32753,Dominican Republic,1950,25.238333333333333
32754,Ecuador,1950,21.334416666666666
32755,Egypt,1950,22.681083333333333
32756,El Salvador,1950,24.643
32757,Equatorial Guinea,1950,25.07575
32758,Eritrea,1950,26.665833333333335
32759,Estonia,1950,5.236
32760,Ethiopia,1950,22.658
32761,Europe,1950,8.4875
32762,Falkland Islands (Islas Malvinas),1950,5.699750000000001
32763,Faroe Islands,1950,7.0065
32764,Federated States Of Micronesia,1950,27.028916666666664
32765,Fiji,1950,25.294083333333333
32766,Finland,1950,2.2062500000000003
32767,France,1950,13.23325
32768,France (Europe),1950,10.921833333333334
32769,French Guiana,1950,25.78075
32770,French Polynesia,1950,25.91033333333333
32771,French Southern And Antarctic Lands,1950,3.963636363636364
32772,Gabon,1950,24.434250000000002
32773,Gambia,1950,27.41825
32774,Gaza Strip,1950,19.296583333333334
32775,Georgia,1950,7.9575
32776,Germany,1950,8.653416666666667
32777,Ghana,1950,26.692000000000004
32778,Greece,1950,15.639000000000001
32779,Greenland,1950,-18.12675
32780,Grenada,1950,26.46075
32781,Guadeloupe,1950,25.948166666666665
32782,Guam,1950,26.87275
32783,Guatemala,1950,22.901749999999996
32784,Guernsey,1950,11.209333333333333
32785,Guinea,1950,25.32558333333333
32786,Guinea Bissau,1950,26.633583333333334
32787,Guyana,1950,26.023750000000003
32788,Haiti,1950,25.9605
32789,Heard Island And Mcdonald Islands,1950,1.5833636363636365
32790,Honduras,1950,24.371166666666667
32791,Hong Kong,1950,23.04941666666667
32792,Hungary,1950,10.680166666666667
32793,Iceland,1950,1.8535000000000004
32794,India,1950,23.659333333333336
32795,Indonesia,1950,25.65425
32796,Iran,1950,16.908833333333334
32797,Iraq,1950,21.31175
32798,Ireland,1950,9.461833333333333
32799,Isle Of Man,1950,9.429916666666665
32800,Israel,1950,19.70975
32801,Italy,1950,13.712583333333335
32802,Jamaica,1950,25.723
32803,Japan,1950,12.589500000000001
32804,Jersey,1950,11.209333333333333
32805,Jordan,1950,19.401166666666665
32806,Kazakhstan,1950,4.267416666666666
32807,Kenya,1950,23.94541666666667
32808,Kingman Reef,1950,26.67616666666667
32809,Kiribati,1950,26.316166666666664
32810,Kuwait,1950,24.617833333333333
32811,Kyrgyzstan,1950,2.6250000000000004
32812,Laos,1950,23.7715
32813,Latvia,1950,5.77025
32814,Lebanon,1950,17.695249999999998
32815,Lesotho,1950,14.00125
32816,Liberia,1950,25.31916666666667
32817,Libya,1950,21.881249999999998
32818,Liechtenstein,1950,5.4355
32819,Lithuania,1950,6.466666666666666
32820,Luxembourg,1950,9.560083333333333
32821,Macau,1950,22.8175
32822,Macedonia,1950,11.551083333333333
32823,Madagascar,1950,22.50666666666667
32824,Malawi,1950,21.011083333333335
32825,Malaysia,1950,25.91025
32826,Mali,1950,27.8955
32827,Malta,1950,19.213333333333335
32828,Martinique,1950,25.798000000000002
32829,Mauritania,1950,27.309749999999998
32830,Mauritius,1950,23.366416666666666
32831,Mayotte,1950,26.26275
32832,Mexico,1950,21.25675
32833,Moldova,1950,9.625083333333334
32834,Monaco,1950,9.814
32835,Mongolia,1950,-0.8249166666666666
32836,Montenegro,1950,11.558666666666667
32837,Montserrat,1950,25.984583333333333
32838,Morocco,1950,17.952916666666667
32839,Mozambique,1950,23.407416666666666
32840,Namibia,1950,20.434
32841,Nepal,1950,14.65125
32842,Netherlands,1950,9.853333333333333
32843,Netherlands (Europe),1950,9.475666666666667
32844,New Caledonia,1950,23.262583333333335
32845,New Zealand,1950,10.618
32846,Nicaragua,1950,25.688000000000002
32847,Niger,1950,26.735333333333333
32848,Nigeria,1950,26.672
32849,Niue,1950,25.27725
32850,North America,1950,1.870416666666667
32851,North Korea,1950,7.225499999999999
32852,Northern Mariana Islands,1950,26.87275
32853,Norway,1950,0.9837500000000001
32854,Oceania,1950,21.203500000000002
32855,Oman,1950,26.303833333333333
32856,Pakistan,1950,19.694416666666665
32857,Palau,1950,27.049916666666665
32858,Palestina,1950,23.316000000000003
32859,Palmyra Atoll,1950,26.699166666666667
32860,Panama,1950,25.975333333333335
32861,Papua New Guinea,1950,24.59358333333333
32862,Paraguay,1950,23.434
32863,Peru,1950,19.584
32864,Philippines,1950,26.53216666666667
32865,Poland,1950,8.127083333333333
32866,Portugal,1950,15.066083333333333
32867,Puerto Rico,1950,25.108333333333334
32868,Qatar,1950,26.293000000000003
32869,Reunion,1950,23.06941666666667
32870,Romania,1950,9.759
32871,Russia,1950,-5.6089166666666666
32872,Rwanda,1950,19.259833333333333
32873,Saint Barthélemy,1950,26.266416666666668
32874,Saint Kitts And Nevis,1950,25.4755
32875,Saint Lucia,1950,26.327333333333332
32876,Saint Martin,1950,26.266416666666668
32877,Saint Pierre And Miquelon,1950,4.293333333333334
32878,Saint Vincent And The Grenadines,1950,26.458083333333335
32879,Samoa,1950,26.274583333333336
32880,San Marino,1950,14.924333333333335
32881,Sao Tome And Principe,1950,25.919833333333333
32882,Saudi Arabia,1950,25.359166666666667
32883,Senegal,1950,27.817083333333333
32884,Serbia,1950,11.216416666666667
32885,Seychelles,1950,26.50916666666667
32886,Sierra Leone,1950,25.940583333333336
32887,Singapore,1950,26.560166666666664
32888,Sint Maarten,1950,26.266416666666668
32889,Slovakia,1950,8.382249999999999
32890,Slovenia,1950,10.637916666666667
32891,Solomon Islands,1950,26.655
32892,Somalia,1950,26.569916666666668
32893,South Africa,1950,17.451166666666666
32894,South America,1950,21.734916666666667
32895,South Georgia And The South Sandwich Isla,1950,0.6483333333333333
32896,South Korea,1950,12.339666666666666
32897,Spain,1950,14.23925
32898,Sri Lanka,1950,26.974166666666665
32899,Sudan,1950,26.820166666666665
32900,Suriname,1950,26.283833333333334
32901,Svalbard And Jan Mayen,1950,-5.688083333333334
32902,Swaziland,1950,19.02725
