Country,Year,Yearly Average Temperature,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
Afghanistan,1950,13.0435,22275.35,777.88,440870.96,15114.38,35305.46,4558.01,35738.03
Africa,1950,23.88083333333333,698457.78,1545654.28,21290512.77,836487.13,3366152.98,236940.0,1510755.19
Albania,1950,13.812833333333332,3123.8,3591.99,129014.86,5801.52,14479.69,575.64,9052.65
Algeria,1950,22.78183333333333,21566.63,17027.78,621034.1,22285.34,44159.9,6520.81,21454.74
American Samoa,1950,26.52008333333333,190.72,163.22,481.34,17.4,120.88,9.19,56.95
Angola,1950,21.57183333333333,5076.87,1683.49,518971.76,22487.09,85981.7,6055.8,32903.4
Argentina,1950,14.795083333333332,266596.47,90080.34,2071037.56,30943.03,306124.51,13920.51,257073.8
Armenia,1950,8.213000000000001,4532.69,10109.14,169467.24,6068.28,15390.2,650.29,7030.46
Aruba,1950,27.4885,97.59,87189.5,1281.4,85.86,194.79,28.47,103.91
Asia,1950,7.169833333333333,2271941.29,4475019.4,79799434.54,2590003.97,11581798.45,888785.28,7127222.08
Australia,1950,21.322916666666668,245961.05,503732.18,1486538.78,31386.71,304114.41,12778.44,226877.89
Austria,1950,7.03575,55514.03,118033.26,1053384.14,17203.85,122496.74,5332.81,35208.79
Azerbaijan,1950,10.891333333333334,9159.02,13814.54,340749.22,15012.82,26899.41,1762.95,21866.47
Bahamas,1950,25.00016666666667,359.58,86.94,3230.62,177.88,482.64,47.29,279.52
Bahrain,1950,25.438,2590.33,292.22,14429.2,33.34,13860.39,64.02,157.96
Bangladesh,1950,25.020333333333337,24186.36,20539.46,1058729.39,47837.83,209604.74,16785.39,148551.61
Barbados,1950,26.18125,4703.59,167.75,14778.09,1009.47,2225.26,224.56,1057.04
Belarus,1950,6.231916666666667,48147.55,185435.76,1308058.21,61291.54,241188.02,7984.07,130688.52
Belgium,1950,9.829166666666666,137633.72,603371.61,1571337.61,36781.6,165211.95,22318.9,50944.79
Belize,1950,24.783,612.2,34.2,4739.0,153.08,2212.38,38.11,779.93
Benin,1950,27.16175,4394.84,703.7,101578.22,7597.4,30240.76,2102.3,13628.62
Bhutan,1950,11.966416666666667,5402.14,2265.92,15729.39,883.79,27992.88,235.2,11014.08
Bolivia,1950,20.845166666666668,7713.75,2421.52,121840.86,2775.05,21704.8,760.2,24433.46
Botswana,1950,22.124166666666667,959.18,111.76,51714.2,2653.47,6088.19,709.86,8805.87
Brazil,1950,24.639,234290.07,146872.74,4985127.19,260328.73,809841.53,70249.47,548309.08
British Virgin Islands,1950,25.997333333333334,12.96,1.29,392.68,26.61,34.71,6.89,41.3
Bulgaria,1950,11.46475,28060.06,730940.53,448187.42,21141.44,67191.56,1875.28,77339.61
Burkina Faso,1950,27.77175,6180.19,1900.08,300627.91,15158.6,60798.87,4083.65,26940.37
Burundi,1950,20.043,1856.95,423.05,167668.19,7910.93,23443.97,2190.13,10427.27
Cambodia,1950,26.78925,9225.57,3543.92,201018.41,12211.11,56515.47,3113.06,28965.35
Cameroon,1950,24.43275,8303.74,1686.1,526124.09,26205.46,68391.77,6951.44,28363.87
Canada,1950,-5.952916666666667,930521.27,3020019.09,9604525.19,210445.4,2057857.61,55118.26,141577.69
Cape Verde,1950,24.34133333333333,111.43,106.25,10579.86,300.55,681.25,112.18,421.16
Cayman Islands,1950,26.47325,12.48,1.13,380.1,24.62,49.78,6.46,30.43
Central African Republic,1950,25.25191666666667,1725.67,434.57,102722.81,5099.12,16975.83,1398.73,8159.12
Chad,1950,26.593083333333336,3467.35,537.24,185948.09,9286.92,19841.33,2502.76,23399.42
Chile,1950,9.292,43668.99,780382.4,799708.85,25620.28,111778.49,7535.76,41078.97
China,1950,6.641166666666667,514483.43,973898.63,37355398.99,864181.56,4074364.56,353433.31,3402434.95
Colombia,1950,24.425833333333333,70328.7,48012.98,1034430.68,40769.4,213199.34,11151.5,102183.65
Comoros,1950,25.62566666666667,62.23,27.19,10608.37,624.65,558.98,166.39,515.28
Congo,1950,24.69741666666667,2714.37,917.52,82012.11,3231.04,13638.17,929.55,3769.38
Costa Rica,1950,25.368583333333333,5582.62,1599.14,123978.28,5854.6,12600.5,1523.31,8170.52
Croatia,1950,12.430083333333334,21147.02,98173.81,449984.92,18782.63,45526.77,1752.38,35608.2
Cuba,1950,25.144,133817.7,61668.91,1509331.15,45938.04,280133.45,11016.84,84023.26
Cyprus,1950,18.796333333333333,3473.65,2874.72,33306.41,722.1,3905.4,177.23,3629.72
Denmark,1950,-17.593166666666665,60546.63,72998.34,450988.74,6847.22,75695.96,4495.18,64979.64
Djibouti,1950,28.35591666666667,311.47,75.31,4702.76,212.18,439.42,59.46,348.32
Dominica,1950,25.798,70.48,6.55,2438.37,135.87,442.24,34.97,242.42
Dominican Republic,1950,25.238333333333333,19229.97,3359.17,296670.31,11914.88,49762.74,2891.07,19474.91
Ecuador,1950,21.334416666666662,9890.38,4322.47,248408.28,10205.78,36716.38,2773.35,23635.7
Egypt,1950,22.681083333333333,120364.74,89287.28,812333.85,27361.05,221326.92,8888.21,75534.31
El Salvador,1950,24.643,6227.64,2343.73,137167.09,7205.37,43963.85,1864.88,17456.97
Equatorial Guinea,1950,25.07575,228.11,100.91,17770.26,923.71,2810.46,249.03,887.47
Eritrea,1950,26.66583333333333,965.33,150.6,73207.14,3176.92,8410.24,888.22,8325.4
Estonia,1950,5.236,14735.17,80556.08,267622.23,9103.17,24872.83,1197.44,6990.42
Ethiopia,1950,22.658,23957.54,3853.22,1971257.16,74555.69,322122.61,20824.86,164866.01
Europe,1950,8.4875,6384672.05,22611584.28,69828573.47,2304828.62,9473497.33,702555.97,4419825.91
Fiji,1950,25.294083333333333,6740.15,1001.62,12271.65,488.03,2968.75,170.33,1701.85
Finland,1950,2.2062500000000003,44368.57,134883.81,1002483.35,31747.2,98626.5,4177.74,24171.71
France,1950,13.23325,511587.28,994566.73,8851150.4,159184.12,1225829.09,72683.54,330225.55
French Guiana,1950,25.78075,61.87,14.5,1453.66,80.95,194.29,21.04,91.39
French Polynesia,1950,25.91033333333333,133.38,15.22,2808.76,178.54,264.84,42.23,188.69
Gabon,1950,24.43425,941.56,293.23,83756.28,4770.23,10701.86,1257.81,2896.63
Gambia,1950,27.41825,306.12,125.45,19165.42,976.92,1686.33,263.43,1422.1
Georgia,1950,7.9575,16029.14,25436.89,384448.81,16469.52,44528.38,1858.48,26334.16
Germany,1950,8.653416666666667,827210.19,4622569.11,7229683.58,384141.35,1029622.37,62103.71,405639.49
Ghana,1950,26.692000000000004,9849.23,2705.82,460907.47,17173.55,64297.37,4770.69,21881.97
Greece,1950,15.639,33726.22,183142.31,401819.76,6552.6,67017.61,1536.17,35941.81
