Country,Year,Yearly Average Temperature,Population
Australia,1973,22.41275,13380000
Brazil,1973,25.169583333333332,103666904
Germany,1973,8.402833333333334,78936666
India,1973,24.38658333333333,596107483
South Africa,1973,17.584416666666666,24382513
United States,1973,8.934666666666667,211909000
Australia,1974,21.23808333333333,13723000
Brazil,1974,24.5815,106167372
Germany,1974,8.970416666666667,78967433
India,1974,24.17575,609721951
South Africa,1974,17.175416666666667,25077016
United States,1974,8.815916666666666,213854000
Australia,1975,21.692666666666668,13893000
Brazil,1975,24.67675,108700515
Germany,1975,9.093666666666667,78673554
India,1975,23.862166666666667,623524219
South Africa,1975,17.1505,25777964
United States,1975,8.431,215973000
Australia,1976,21.193416666666668,14033000
Brazil,1976,24.719000000000005,111286504
Germany,1976,8.6505,78336950
India,1976,24.199583333333333,637451448
South Africa,1976,16.963833333333334,26480300
United States,1976,8.65125,218035000
Australia,1977,21.8925,14192000
Brazil,1977,25.13233333333333,113939886
Germany,1977,8.804833333333333,78159814
India,1977,24.28891666666667,651685628
South Africa,1977,17.66,27199838
United States,1977,9.269833333333333,220239000
Australia,1978,21.605166666666666,14358000
Brazil,1978,24.9275,116664382
Germany,1978,7.932749999999999,78091820
India,1978,24.00733333333333,666267760
South Africa,1978,17.40975,27943445
United States,1978,8.751416666666666,222585000
Australia,1979,22.252333333333336,14514000
Brazil,1979,24.944333333333333,119447303
Germany,1979,7.901666666666666,78126350
India,1979,24.553583333333336,681248383
South Africa,1979,17.789833333333334,28697014
United States,1979,8.571583333333333,225055000
Australia,1980,22.586166666666667,14692000
Brazil,1980,25.148,122288383
Germany,1980,7.727250000000001,78288576
India,1980,24.593083333333336,696828385
South Africa,1980,17.609833333333334,29463549
United States,1980,9.1355,227225000
Australia,1981,22.16408333333333,14923260
Brazil,1981,24.983416666666667,125168060
Germany,1981,8.320500000000001,78407907
India,1981,24.228416666666664,712869298
South Africa,1981,17.115750000000002,30232561
United States,1981,9.7215,229466000
Australia,1982,21.9105,15184247
Brazil,1982,25.23033333333333,128065095
Germany,1982,9.073333333333334,78333366
India,1982,24.21825,729169466
South Africa,1982,17.752083333333335,31022417
United States,1982,8.5395,231664000
Australia,1983,22.26108333333333,15393472
Brazil,1983,25.35075,130977370
Germany,1983,9.185666666666668,78128282
India,1983,23.938,745826546
South Africa,1983,18.20358333333333,31865176
United States,1983,8.912333333333333,233792000
Australia,1984,21.516916666666663,15579391
Brazil,1984,25.109916666666667,133888775
Germany,1984,8.123,77858685
India,1984,24.18508333333333,762895156
South Africa,1984,17.96816666666667,32768207
United States,1984,8.811166666666667,235825000
Australia,1985,22.04341666666667,15788312
Brazil,1985,24.965666666666667,136783180
Germany,1985,7.613333333333333,77684873
India,1985,24.48633333333333,780242084
South Africa,1985,18.056083333333333,33752964
United States,1985,8.587000000000002,237924000
