Country,Year,Population
United States,1973,211909000
South Africa,1973,24382513
India,1973,596107483
Germany,1973,78936666
Brazil,1973,103666904
Australia,1973,13380000
United States,1974,213854000
South Africa,1974,25077016
India,1974,609721951
Germany,1974,78967433
Brazil,1974,106167372
Australia,1974,13723000
United States,1975,215973000
South Africa,1975,25777964
India,1975,623524219
Germany,1975,78673554
Brazil,1975,108700515
Australia,1975,13893000
United States,1976,218035000
South Africa,1976,26480300
India,1976,637451448
Germany,1976,78336950
Brazil,1976,111286504
Australia,1976,14033000
United States,1977,220239000
South Africa,1977,27199838
India,1977,651685628
Germany,1977,78159814
Brazil,1977,113939886
Australia,1977,14192000
United States,1978,222585000
South Africa,1978,27943445
India,1978,666267760
Germany,1978,78091820
Brazil,1978,116664382
Australia,1978,14358000
United States,1979,225055000
South Africa,1979,28697014
India,1979,681248383
Germany,1979,78126350
Brazil,1979,119447303
Australia,1979,14514000
United States,1980,227225000
South Africa,1980,29463549
India,1980,696828385
Germany,1980,78288576
Brazil,1980,122288383
Australia,1980,14692000
United States,1981,229466000
South Africa,1981,30232561
India,1981,712869298
Germany,1981,78407907
Brazil,1981,125168060
Australia,1981,14923260
United States,1982,231664000
South Africa,1982,31022417
India,1982,729169466
Germany,1982,78333366
Brazil,1982,128065095
Australia,1982,15184247
United States,1983,233792000
South Africa,1983,31865176
India,1983,745826546
Germany,1983,78128282
Brazil,1983,130977370
Australia,1983,15393472
United States,1984,235825000
South Africa,1984,32768207
India,1984,762895156
Germany,1984,77858685
Brazil,1984,133888775
Australia,1984,15579391
United States,1985,237924000
South Africa,1985,33752964
India,1985,780242084
Germany,1985,77684873
Brazil,1985,136783180
Australia,1985,15788312
United States,1986,240133000
South Africa,1986,34877834
India,1986,797878993
Germany,1986,77720436
Brazil,1986,139643355
Australia,1986,16018350
United States,1987,242289000
South Africa,1987,36119333
India,1987,815716125
Germany,1987,77839920
Brazil,1987,142466264
Australia,1987,16263874
United States,1988,244499000
South Africa,1988,37393853
India,1988,833729681
Germany,1988,78144619
Brazil,1988,145253973
Australia,1988,16532164
United States,1989,246819000
South Africa,1989,38668684
India,1989,852012673
Germany,1989,78751283
Brazil,1989,148003411
Australia,1989,16814416
United States,1990,249623000
South Africa,1990,39877570
India,1990,870452165
Germany,1990,79433029
Brazil,1990,150706446
Australia,1990,17065128
