Date,USA,ZAF,IND,DEU,BRA,AUS
1973,211909000.0,24382513.0,596107483.0,78936666.0,103666904.0,13380000.0
1974,213854000.0,25077016.0,609721951.0,78967433.0,106167372.0,13723000.0
1975,215973000.0,25777964.0,623524219.0,78673554.0,108700515.0,13893000.0
1976,218035000.0,26480300.0,637451448.0,78336950.0,111286504.0,14033000.0
1977,220239000.0,27199838.0,651685628.0,78159814.0,113939886.0,14192000.0
1978,222585000.0,27943445.0,666267760.0,78091820.0,116664382.0,14358000.0
1979,225055000.0,28697014.0,681248383.0,78126350.0,119447303.0,14514000.0
1980,227225000.0,29463549.0,696828385.0,78288576.0,122288383.0,14692000.0
1981,229466000.0,30232561.0,712869298.0,78407907.0,125168060.0,14923260.0
1982,231664000.0,31022417.0,729169466.0,78333366.0,128065095.0,15184247.0
1983,233792000.0,31865176.0,745826546.0,78128282.0,130977370.0,15393472.0
1984,235825000.0,32768207.0,762895156.0,77858685.0,133888775.0,15579391.0
1985,237924000.0,33752964.0,780242084.0,77684873.0,136783180.0,15788312.0
1986,240133000.0,34877834.0,797878993.0,77720436.0,139643355.0,16018350.0
1987,242289000.0,36119333.0,815716125.0,77839920.0,142466264.0,16263874.0
1988,244499000.0,37393853.0,833729681.0,78144619.0,145253973.0,16532164.0
1989,246819000.0,38668684.0,852012673.0,78751283.0,148003411.0,16814416.0
1990,249623000.0,39877570.0,870452165.0,79433029.0,150706446.0,17065128.0
1991,252981000.0,40910959.0,888941756.0,80013896.0,153336445.0,17284036.0
1992,256514000.0,41760755.0,907574049.0,80624598.0,155900790.0,17478635.0
1993,259919000.0,42525440.0,926351297.0,81156363.0,158440875.0,17634808.0
1994,263126000.0,43267982.0,945261958.0,81438348.0,160980472.0,17805468.0
1995,266278000.0,43986084.0,964279129.0,81678051.0,163515328.0,18004882.0
1996,269394000.0,44661603.0,983281218.0,81914831.0,166037122.0,18224767.0
1997,272657000.0,45285048.0,1002335230.0,82034771.0,168546707.0,18423037.0
1998,275854000.0,45852166.0,1021434576.0,82047195.0,171039804.0,18607584.0
1999,279040000.0,46364681.0,1040500054.0,82100243.0,173486281.0,18812264.0
2000,282162411.0,46813266.0,1059633675.0,82211508.0,175873720.0,19028802.0
2001,284968955.0,47229714.0,1078970907.0,82349925.0,178211881.0,19274701.0
2002,287625193.0,47661514.0,1098313039.0,82488495.0,180476685.0,19495210.0
2003,290107933.0,48104048.0,1117415123.0,82534176.0,182629278.0,19720737.0
2004,292805298.0,48556071.0,1136264583.0,82516260.0,184722043.0,19932722.0
2005,295516599.0,49017147.0,1154638713.0,82469422.0,186797334.0,20176844.0
2006,298379912.0,49491756.0,1172373788.0,82376451.0,188820682.0,20450966.0
2007,301231207.0,49996094.0,1189691809.0,82266372.0,190779453.0,20827622.0
2008,304093966.0,50565812.0,1206734806.0,82110097.0,192672317.0,21249199.0
2009,306771529.0,51170779.0,1223640160.0,81902307.0,194517549.0,21691653.0
2010,309327143.0,51784921.0,1240613620.0,81776930.0,196353492.0,22031750.0
2011,311583481.0,52443325.0,1257621191.0,80274983.0,198185302.0,22340024.0
2012,313877662.0,53145033.0,1274487215.0,80425823.0,199977707.0,22733465.0
2013,316059947.0,53873616.0,1291132063.0,80645605.0,201721767.0,23128129.0
2014,318386329.0,54729551.0,1307246509.0,80982500.0,203459650.0,23475686.0
2015,320738994.0,55876504.0,1322866505.0,81686611.0,205188205.0,23815995.0
2016,323071755.0,56422274.0,1338636340.0,82348669.0,206859578.0,24190907.0
2017,325122128.0,56641209.0,1354195680.0,82657002.0,208504960.0,24592588.0
2018,326838199.0,57339635.0,1369003306.0,82905782.0,210166592.0,24963258.0
2019,328329953.0,58087055.0,1383112050.0,83092962.0,211782878.0,25334826.0
2020,331511512.0,58801927.0,1396387127.0,83160871.0,213196304.0,25649248.0
2021,332031554.0,59392255.0,1407563842.0,83196078.0,214326223.0,25685412.0
2022,333287557.0,59893885.0,1417173173.0,83797985.0,215313498.0,26005540.0
